"sep=,"
ID,ID2,Title
SCAJ-20048,SCAJ_200.48,R - Racing Evolution
SCAJ-20050,SCAJ_200.50,Zero - Akai Chou
SCAJ-20055,SCAJ_200.55,Battle Gear 3
SCAJ-20056,SCAJ_200.56,Bujingai
SCAJ-20057,SCAJ_200.57,FRONT MISSION 4
SCAJ-20058,SCAJ_200.58,Terminator 3 - Rise of the Machines
SCAJ-20059,SCAJ_200.59,MINNA NO GOLF 4 - EVERYBODY'S GOLF
SCAJ-20060,SCAJ_200.60,Time Crisis 3
SCAJ-20061,SCAJ_200.61,Seven Samurai 20XX
SCAJ-20062,SCAJ_200.62,"CROUCHING TIGEER, HIDDEN DRAGON"
SCAJ-20063,SCAJ_200.63,Popolocrois Story - Tsuki no Okite no Bouken
SCAJ-20064,SCAJ_200.64,NEBULA - ECHO NIGHT
SCAJ-20065,SCAJ_200.65,EyeToy - Play (With Camera)
SCAJ-20066,SCAJ_200.66,Gran Turismo 4 - Prologue
SCAJ-20067,SCAJ_200.67,Gungrave OD
SCAJ-20068,SCAJ_200.68,FINAL FANTASY X-2 INTERNATIONAL + LAST MISSION
SCAJ-20069,SCAJ_200.69,Gallop Racer - Lucy 7
SCAJ-20070,SCAJ_200.70,STAR OCEAN - TILL THE END OF TIME - DIRECTOR'S CUT [2 DISCS]
SCAJ-20072,SCAJ_200.72,KOUKAKU KIDOUTAI - STAND ALONE COMPLEX
SCAJ-20073,SCAJ_200.73,JAK II
SCAJ-20074,SCAJ_200.74,The King of Fighters 2002
SCAJ-20075,SCAJ_200.75,Dragon Quest V - Tenkuu no Hayanome
SCAJ-20076,SCAJ_200.76,Armored Core - Nexus
SCAJ-20078,SCAJ_200.78,KUON
SCAJ-20079,SCAJ_200.79,Katamari Damacy
SCAJ-20080,SCAJ_200.80,KAENA
SCAJ-20081,SCAJ_200.81,Xenosaga Freaks
SCAJ-20082,SCAJ_200.82,Gungrave OD
SCAJ-20083,SCAJ_200.83,Bakuso! Mountain Bikers
SCAJ-20084,SCAJ_200.84,MLB '04
SCAJ-20085,SCAJ_200.85,Sakura Zakashobotai
SCAJ-20086,SCAJ_200.86,Xenosaga Episode II- Jenseits von Gut und Böse [2 DISCS]
SCAJ-20088,SCAJ_200.88,UO Nanatsu no Mizu to Densetsu no Nushi
SCAJ-20089,SCAJ_200.89,ATHENS 2004
SCAJ-20090,SCAJ_200.90,GACHA MECHA STADIUM - SARU BATTLE
SCAJ-20092,SCAJ_200.92,Samurai Spirits Zero
SCAJ-20093,SCAJ_200.93,Tenchu Kurenai
SCAJ-20094,SCAJ_200.94,MINNA NO GOLF 4 - EVERYBODY'S GOLF [PLAYSTATION 2 THE BEST]
SCAJ-20095,SCAJ_200.95,Digital Devil Saga - Avatar Tuner
SCAJ-20096,SCAJ_200.96,Guilty Gear Isuka
SCAJ-20097,SCAJ_200.97,EyeToy - FuriFuri Dance Tengoku
SCAJ-20099,SCAJ_200.99,ICO [PLAYSTATION 2 THE BEST]
SCAJ-20100,SCAJ_201.00,Tenchu Kurenai
SCAJ-20101,SCAJ_201.01,Saru Eye Toy Oosawagi: Wakki Waki Game Tenkomori!!
SCAJ-20102,SCAJ_201.02,Tales of Symphonia
SCAJ-20104,SCAJ_201.04,Ace Combat 5: The Unsung War
SCAJ-20105,SCAJ_201.05,Armored Core: Nine Breaker
SCAJ-20107,SCAJ_201.07,Bakufuu Slash!! Kizna Arashi
SCAJ-20108,SCAJ_201.08,Arc the Lad - Generation
SCAJ-20109,SCAJ_201.09,Ratchet & Clank 3
SCAJ-20110,SCAJ_201.10,Dragon Quest VIII: Sora to Umi to Daichi to Norowareshi Himegimi
SCAJ-20111,SCAJ_201.11,Crash Bandicoot 5: Eeee Crash to Cortex no Yabou?!?
SCAJ-20112,SCAJ_201.12,Tales of Rebirth
SCAJ-20113,SCAJ_201.13,Dragon Quest & Final Fantasy in Itadaki Street
SCAJ-20114,SCAJ_201.14,TSUKIYO NI SARABA
SCAJ-20115,SCAJ_201.15,Yoshitsune Eiyuuden - The Story of Hero Yoshitsune
SCAJ-20116,SCAJ_201.16,Tekken's Nina Williams in: Death by Degrees
SCAJ-20117,SCAJ_201.17,FUUN BAKUMATSUDEN
SCAJ-20118,SCAJ_201.18,Radiata Stories
SCAJ-20119,SCAJ_201.19,Gladiator: Road to Freedom
